,岗位名称,公司名称,城市,地点,薪资,基本要求,公司状况,岗位技能,公司福利
1275,数据分析师,斗鱼直播,武汉,[洪山区],10k-15k,10k-15k 经验不限 / 本科,文娱丨内容 / 上市公司 / 2000人以上,SQL 数据分析 数据运营,"“知名平台,薪酬待遇佳,发展空间大”"
1276,数据分析师,字节跳动,武汉,[洪山区],20k-40k,20k-40k 经验3-5年 / 本科,文娱丨内容 / C轮 / 2000人以上,数据分析,“弹性工作，免费三餐，晋升空间，团队氛围好”
1277,业务数据分析,小药药集团,武汉,[东湖新技术…],7k-11k,7k-11k 经验3-5年 / 本科,医疗丨健康 / C轮 / 500-2000人,MySQL 数据分析 数据挖掘,“团队氛围和谐，内部晋升机会多”
1278,数据分析师(J10441),百分点,武汉,[关山],15k-30k,15k-30k 经验不限 / 硕士,数据服务 / D轮及以上 / 500-2000人,数据分析,“技术大牛，福利齐全”
1279,高级数据分析师,中国婚博会,武汉,[东亭],10k-15k,10k-15k 经验3-5年 / 本科,其他 / 不需要融资 / 500-2000人,数据仓库 数据分析 数据挖掘,“五险一金 弹性工作 双休”
1280,高级数据分析（对标985/211）,易佰网络科技,武汉,[白沙洲],8k-15k,8k-15k 经验1-3年 / 本科,"电商,移动互联网 / B轮 / 2000人以上",电商 算法 数据挖掘 数据分析 数据处理,“五险一金/节日福利/专业培训/全勤奖”
1281,数据分析师助理,福韵数据服务有限公司,武汉,[珞狮南路],4k-5k,4k-5k 经验不限 / 大专,"移动互联网,数据服务 / A轮 / 150-500人",信息安全 大数据 数据分析 SQL SPSS 数据库,“助理-初一级-初二级-中一级等上升平台”
1282,数据分析工程师,极验,武汉,[东湖新技术…],12k-18k,12k-18k 经验应届毕业生 / 本科,"信息安全,数据服务 / B轮 / 50-150人",大数据 数据挖掘 数据分析,"“有挑战性,技术先驱,大牛队友”"
1283,数据分析（商业化方向）,微派,武汉,[东湖新技术…],4k-5k,4k-5k 经验应届毕业生 / 本科,社交 / B轮 / 50-150人,数据分析,"“独立开发，发展空间大,技术氛围好”"
1284,数据分析师,湖邦达供应链,武汉,[新洲区],5k-10k,5k-10k 经验3-5年 / 本科,移动互联网 电子商务 / 上市公司 / 2000人以上,数据审核 校对,“13薪/愿意培养新人”
1285,数据分析工程师,海康威视武汉研发中心,武汉,[关山],10k-15k,10k-15k 经验3-5年 / 本科,"信息安全,数据服务 / 上市公司 / 2000人以上",大数据,“六险一金；大平台”
1286,数据分析经理,安居客,武汉,[中北路],13k-20k,13k-20k 经验5-10年 / 本科,"移动互联网,消费生活 / 上市公司 / 500-2000人",策略运营 数据分析,“五险一金、年终奖、超长过年假”
1287,数据分析师,烽火科技·虹旭信息技术有限公司,武汉,[江夏区],7k-14k,7k-14k 经验3-5年 / 本科,"信息安全,数据服务 / 不需要融资 / 150-500人",数据分析 数据运营,"“班车,提供食宿,奖金,薪酬增长,沟通畅通”"
1288,数据分析师,看电影了没,武汉,[东湖新技术…],8k-10k,8k-10k 经验应届毕业生 / 硕士,"移动互联网,文娱丨内容 / 不需要融资 / 15-50人",视频 SPSS 数据分析 SQL,“粉丝多 ；福利多；前景好；不官僚”
1289,商业化-高级数据分析师,字节跳动,武汉,[洪山区],8k-16k,8k-16k 经验3-5年 / 本科,文娱丨内容 / C轮 / 2000人以上,项目管理,“六险一金，餐补，带薪休假，扁平管理”
1290,高级数据分析师,斗鱼直播,武汉,[鲁巷],25k-30k,25k-30k 经验3-5年 / 本科,文娱丨内容 / 上市公司 / 2000人以上,数据分析 数据处理,"“知名平台,发展空间大”"
1291,数据分析（校招/实习）,微派,武汉,[东湖新技术…],4k-8k,4k-8k 经验应届毕业生 / 本科,社交 / B轮 / 50-150人,数据分析,"“发展空间大,大牛带”"
1292,数据分析产品经理,福韵数据服务有限公司,武汉,[珞狮南路],8k-15k,8k-15k 经验1-3年 / 本科,"移动互联网,数据服务 / A轮 / 150-500人",大数据 产品设计 需求分析 数据分析 项目管理,“五险一金，年终奖，培训”
1293,亚马逊数据分析,易佰网络科技,武汉,[白沙洲],8k-13k,8k-13k 经验不限 / 本科,"电商,移动互联网 / B轮 / 2000人以上",电商 数据分析,“五险一金下午茶全勤带薪年假法定假等”
1294,风控数据分析师,天贝科技,武汉,[流芳],10k-18k,10k-18k 经验3-5年 / 本科,移动互联网 / 未融资 / 150-500人,大数据 移动互联网 可视化 数据分析 商业,“发展空间大高薪高福利出国游周末双休”
1295,数据分析实习生,小药药集团,武汉,[东湖新技术…],2k-3k,2k-3k 经验应届毕业生 / 大专,医疗丨健康 / C轮 / 500-2000人,医疗健康 移动互联网,"“上市公司,发展空间大”"
1296,数据分析主管/经理,慧控科技,武汉,[关山],20k-30k,20k-30k 经验5-10年 / 本科,移动互联网 / 不需要融资 / 50-150人,数据分析,“五险一金 三个月年终奖”
1297,数据分析助理、项目助理,北京知行易联科技有限公司,武汉,[中北路],4k-8k,4k-8k 经验应届毕业生 / 本科,"企业服务,数据服务 / 未融资 / 少于15人",数据分析 可视化 SQL,"“午餐补助,五险一金,人性化管理,地铁附近”"
1298,商业化-高级数据分析师,字节跳动,武汉,[洪山区],6k-12k,6k-12k 经验3-5年 / 本科,文娱丨内容 / C轮 / 2000人以上,移动互联网 数据分析 行业分析 市场竞争分析,“六险一金、团队氛围好、餐补、扁平化管理”
1299,商业化-数据分析支持,字节跳动,武汉,[洪山区],5k-10k,5k-10k 经验1-3年 / 本科,文娱丨内容 / C轮 / 2000人以上,广告营销 技术支持,“六险一金、团队氛围好、带薪休假、晋升空间”
1300,资深数据分析工程师\数据分析专家,斗鱼直播,武汉,[洪山区],15k-30k,15k-30k 经验5-10年 / 本科,文娱丨内容 / 上市公司 / 2000人以上,大数据 数据挖掘 数据分析,"“行业发展快,公司发展好”"
1301,数据分析,舟恩信息,深圳,[新洲],12k-18k,12k-18k 经验1年以下 / 本科,移动互联网 / 不需要融资 / 150-500人,可视化 BI SQL,“互联网金融”
1302,数据分析师,华云中盛,深圳,[车公庙],8k-16k,8k-16k 经验1-3年 / 本科,"数据服务,移动互联网 / 不需要融资 / 500-2000人",数据分析 MySQL Oracle 数据仓库,“发展前景”
1303,数据分析师,海云天科技,深圳,[大冲],8k-16k,8k-16k 经验1-3年 / 本科,"移动互联网,教育 / 上市公司 / 500-2000人",教育 数据分析,"“氛围好,发展空间大,上市公司,扁平化”"
1304,032303-数据分析师,平安产险,深圳,[福田区],11k-22k,11k-22k 经验3-5年 / 硕士,金融 / 上市公司 / 2000人以上,大数据 金融,"“五险一金,绩效奖金,带薪年假,节日福利”"
1305,数据分析师,编程猫,深圳,[宝安区],15k-30k,15k-30k 经验3-5年 / 本科,"移动互联网,教育 / B轮 / 500-2000人",教育 数据分析,"“能撸猫,有餐补,下午茶”"
1306,数据分析师（数据资产方向）,一面数据,深圳,[南山区],8k-15k,8k-15k 经验1-3年 / 本科,"移动互联网,数据服务 / A轮 / 50-150人",大数据,“大数据人工智能；名校系大牛；技术氛围浓”
1307,数据分析岗,中信银行信用卡中心,深圳,[福田区],20k-40k,20k-40k 经验3-5年 / 不限,"移动互联网,金融 / 上市公司 / 2000人以上",大数据 银行 数据挖掘 Hive,"“金融,福利好”"
1308,数据分析师,贝壳,深圳,[车公庙],7k-12k,7k-12k 经验3-5年 / 本科,房产家居 / D轮及以上 / 2000人以上,大数据 房产服务 MySQL SQLServer,“大平台”
1309,高级数据分析师,万兴科技集团股份有限公司,深圳,[桂庙路口],12k-24k,12k-24k 经验3-5年 / 本科,移动互联网 / 上市公司 / 500-2000人,SQL 可视化 数据分析,"“平台大,待遇优,成长快”"
1310,数据分析师-HK,联易融linklogis,深圳,[大冲],25k-30k,25k-30k 经验3-5年 / 本科,"移动互联网,金融 / C轮 / 150-500人",数据运营 SPSS DBA 数据分析,“六险一金;弹性办公;福利满满;风口行业”
1311,数据分析助理(ETL),OPPO,深圳,[南山区],6k-12k,6k-12k 经验1-3年 / 本科,硬件 / 不需要融资 / 2000人以上,ETL,“无敌海景、扁平管理、给力年终。”
1312,数据分析,博悦科创,深圳,[莲花一村],10k-13k,10k-13k 经验1-3年 / 本科,移动互联网 / 不需要融资 / 500-2000人,BI,"“五险一金,员工旅游,定期体检,年终奖金”"
1313,数据分析师,小号科技,深圳,[南油],15k-25k,15k-25k 经验3-5年 / 本科,移动互联网 / 天使轮 / 15-50人,大数据 金融 数据挖掘,“五险一金”
1314,数据分析专员,微创软件,深圳,[深圳],5k-10k,5k-10k 经验1-3年 / 大专,"企业服务,移动互联网 / 不需要融资 / 2000人以上",移动互联网 数据分析,“福利待遇 五险一金”
1315,数据分析师,一点资讯,深圳,[科技园],20k-40k,20k-40k 经验3-5年 / 本科,文娱丨内容 / D轮及以上 / 500-2000人,数据分析 数据运营 SQL,"“七险一金,福利待遇好,带薪年假,年终奖金”"
1316,数据分析与挖掘岗,平安产险,深圳,[香蜜湖],15k-25k,15k-25k 经验3-5年 / 本科,金融 / 上市公司 / 2000人以上,保险 大数据 Java 数据挖掘 数据处理,“丰厚的年终奖”
1317,数据分析主管,贝壳,深圳,[车公庙],7k-12k,7k-12k 经验不限 / 本科,房产家居 / D轮及以上 / 2000人以上,移动互联网 房产服务 数据分析,“互联网平台，平台化管理，晋升空间公平公正”
1318,高级数据分析师（搜索方向）,OPPO,深圳,[南山区],20k-40k,20k-40k 经验3-5年 / 本科,硬件 / 不需要融资 / 2000人以上,移动互联网,“福利待遇好”
1319,数据分析师,极光,深圳,[南山区],10k-20k,10k-20k 经验1-3年 / 本科,企业服务 / 上市公司 / 500-2000人,云计算 大数据 SPSS 数据运营 数据分析,“上市公司、技术氛围好、弹性工作制”
1320,数据分析师,淘乐网络,深圳,[科技园],10k-18k,10k-18k 经验1-3年 / 本科,游戏 / 不需要融资 / 150-500人,游戏 数据分析 数据运营,“五险一金 营养三餐 晋升空间 核心项目”
1321,数据分析师,WeLab卫盈联,深圳,[后海],10k-20k,10k-20k 经验1-3年 / 本科,金融 / B轮 / 500-2000人,数据分析 SQL SPSS,“扁平化 六险一金”
1322,数据分析师（数据资产方向）,一面数据,深圳,[南山区],10k-20k,10k-20k 经验1-3年 / 本科,"移动互联网,数据服务 / A轮 / 50-150人",大数据,“大数据人工智能；名校系大牛；技术氛围浓”
1323,数据分析师,万兴科技集团股份有限公司,深圳,[桂庙路口],11k-22k,11k-22k 经验1-3年 / 不限,移动互联网 / 上市公司 / 500-2000人,SQL 数据分析 数据运营,"“平台大,待遇优,成长快”"
1324,数据分析,博悦科创,深圳,[园岭],9k-15k,9k-15k 经验1-3年 / 本科,移动互联网 / 不需要融资 / 500-2000人,BI SQL,"“五险一金,绩效奖金,员工旅游,定期体检”"
1325,数据分析师（数据运营方向）,木槿科技,深圳,[科技园],10k-20k,10k-20k 经验1-3年 / 本科,数据服务 / 不需要融资 / 150-500人,大数据 互联网金融 数据分析 数据运营,“发展前景好、扁平化、晋升空间大、大牛带队”
1326,数据分析师,DataEye,深圳,[南山区],9k-18k,9k-18k 经验1-3年 / 本科,"移动互联网,游戏 / B轮 / 50-150人",数据分析 SPSS SQL,"“五险一金 年底双薪,下午茶，旅游，晋升”"
1327,数据分析师,安硕信息（amarsoft）,深圳,[人民南],8k-16k,8k-16k 经验1-3年 / 本科,金融 / 上市公司 / 2000人以上,金融,“需求分析 信贷 金融”
1328,数据分析师-教育方向,迷你玩,深圳,[前海],10k-20k,10k-20k 经验3-5年 / 本科,游戏 / B轮 / 150-500人,教育 数据分析,“领导好，年终奖，下午茶，扁平化管理”
1329,数据分析师,新锐居品科技有限公司,深圳,[宝安区],10k-18k,10k-18k 经验1-3年 / 本科,"电商,消费生活 / A轮 / 50-150人",电商 数据分析 数据运营 可视化 BI,“跨国团队，订单起量时刻”
1330,数据分析,阿卡索外教网,深圳,[国贸],15k-20k,15k-20k 经验1-3年 / 本科,"教育,移动互联网 / C轮 / 2000人以上",移动互联网 教育 BI SQL,"“五险一金,员工旅游,健身俱乐部,带薪年假”"
1331,数据分析师(商业方向，中高级）,一面数据,深圳,[南山区],10k-20k,10k-20k 经验1-3年 / 本科,"移动互联网,数据服务 / A轮 / 50-150人",大数据,“大数据人工智能；名校系大牛；技术氛围浓”
