,岗位名称,公司名称,城市,地点,薪资,基本要求,公司状况,岗位技能,公司福利
889,大数据分析师 Big Data Analyst,B/S/H/ Group,南京,[南大],15k-25k,15k-25k 经验5-10年 / 本科,其他 / 不需要融资 / 2000人以上,电商 企业服务 MySQL ETL Hadoop Spark,“五险一金 500强 国际团队”
890,BI数据分析产品经理,五星电器,南京,[鼓楼区],10k-15k,10k-15k 经验5-10年 / 本科,"电商,消费生活 / 不需要融资 / 2000人以上",新零售 BI 数据 数据分析,“五险一金、节假日福利”
891,资深运营数据分析专家,vivo,南京,[安德门],30k-60k,30k-60k 经验5-10年 / 本科,硬件 / 未融资 / 2000人以上,团队建设,“发展前景；行业领先；技术大牛”
892,数据分析专员 (MJ001116),SHEIN,南京,[安德门],4k-6k,4k-6k 经验不限 / 本科,"电商,移动互联网 / C轮 / 2000人以上",数据分析,“餐补 加班补贴”
893,数据分析（量化金融）课程老师（南京）,指南者教育,南京,[珠江路],10k-15k,10k-15k 经验应届毕业生 / 硕士,教育 / 未融资 / 50-150人,教育,“入职培训、五险一金、免费午餐”
894,数据分析师,点触科技,厦门,[思明区],10k-20k,10k-20k 经验3-5年 / 本科,游戏 / 上市公司 / 150-500人,数据分析 数据挖掘 MySQL,“免费班车 免费早餐 免费体检 五险一金”
895,数据分析师,多快好省,厦门,[思明区],8k-16k,8k-16k 经验1-3年 / 本科,金融 / 不需要融资 / 50-150人,互联网金融 数据分析 数据库,“弹性上班，周末双休，五险一金 免费午晚餐”
896,数据分析师,趣店,厦门,[思明区],15k-30k,15k-30k 经验3-5年 / 本科,"移动互联网,金融 / 上市公司 / 500-2000人",移动互联网 电商 数据分析 策略运营,"“绩效奖金,优秀团队,扁平化管理,上市公司”"
897,数据分析师,游动网络,厦门,[前埔医院],8k-15k,8k-15k 经验1-3年 / 本科,游戏 / 上市公司 / 150-500人,游戏 数据分析 数据库,“项目奖金，国外旅游，五险一金，年终双薪”
898,资深数据分析师,美柚,厦门,[思明区],14k-22k,14k-22k 经验3-5年 / 本科,移动互联网 / D轮及以上 / 500-2000人,SQL BI 数据库 数据分析,"“发展空间大,团队协作好”"
899,数据分析师,好慷在家,厦门,[集美区],8k-13k,8k-13k 经验1-3年 / 本科,消费生活 / C轮 / 2000人以上,电商 大数据,“工资很美丽，公司制度完善，福利丰厚”
900,高级数据分析师,美图公司,厦门,[思明区],13k-26k,13k-26k 经验3-5年 / 本科,硬件 / 上市公司 / 2000人以上,MySQL 数据分析 Java Scala,"“弹性工作,海外团队,海外市场”"
901,数据分析应用岗,厦门银行,厦门,[湖滨北路],15k-25k,15k-25k 经验3-5年 / 本科,金融 / 不需要融资 / 2000人以上,大数据 征信,"“扁平管理,绩效奖金,定期体检,管理规范”"
902,高级数据分析师,美团点评,厦门,[思明区],20k-40k,20k-40k 经验3-5年 / 本科,消费生活 / 上市公司 / 2000人以上,数据分析,“发展空间大，工作氛围轻松”
903,数据开发/数据分析,侠侣亲子游,厦门,[厦港],6k-12k,6k-12k 经验1-3年 / 大专,"电商,旅游 / 不需要融资 / 150-500人",本地生活 大数据 数据分析 数据挖掘,“带薪假期，免费茶点、员工活动、年度旅游”
904,Python 数据分析,金投缘,厦门,[思明区],10k-20k,10k-20k 经验1-3年 / 本科,"移动互联网,金融 / 不需要融资 / 50-150人",物流 医疗健康 数据挖掘 数据分析 数据仓库 算法,“扁平化、广阔前景”
905,大数据分析工程师（厦门）,美亚柏科,厦门,[思明区],8k-16k,8k-16k 经验不限 / 本科,"信息安全,数据服务 / 上市公司 / 2000人以上",Java NLP,“五险一金 每年多次调薪”
906,软件开发工程师（数据分析）,福建天闻,厦门,[集美区],6k-8k,6k-8k 经验1-3年 / 本科,"数据服务,教育 / 未融资 / 15-50人",大数据,“五险一金、带薪年假”
907,高级数据分析师,趣店,厦门,[思明区],28k-35k,28k-35k 经验3-5年 / 本科,"移动互联网,金融 / 上市公司 / 500-2000人",互联网金融 数据分析 数据处理,“上市公司、年底多薪、周末双休、带薪年假”
908,反欺诈数据分析师,趣店,厦门,[思明区],20k-40k,20k-40k 经验3-5年 / 本科,"移动互联网,金融 / 上市公司 / 500-2000人",风控,“福利待遇、发展前景”
909,开发经理（数据分析）,福建天闻,厦门,[集美区],10k-15k,10k-15k 经验3-5年 / 本科,"数据服务,教育 / 未融资 / 15-50人",大数据,“五险一金、带薪年假、绩效奖金、通讯补贴”
910,BI工程师/数据分析师（天津）,谷川联行,天津,[西青区],10k-15k,10k-15k 经验不限 / 本科,电商 / 不需要融资 / 150-500人,ETL MySQL 数据挖掘 数据库开发,“发展空间大 福利待遇高 周末双休”
911,数据分析师-数据库方向,字节跳动,天津,[红桥区],8k-15k,8k-15k 经验3-5年 / 本科,文娱丨内容 / C轮 / 2000人以上,数据分析,“六险一金，餐补，租房补贴，带薪休假”
912,大数据分析师,星际空间（天津）科技发展有限公司,天津,[西青区],15k-20k,15k-20k 经验1-3年 / 本科,移动互联网 / 不需要融资 / 150-500人,移动互联网 数据分析,“五险一金，法定假期、带薪年假；定期团建。”
913,数据分析工程师,海昊大数据,天津,[东丽区],7k-14k,7k-14k 经验1-3年 / 大专,"数据服务,人工智能 / 未融资 / 15-50人",电商 信息安全 数据分析 数据运营,“年底双薪/带薪年假/五险一金/假日礼品”
914,数据分析专员,快手,天津,[中北],8k-10k,8k-10k 经验1-3年 / 本科,文娱丨内容 / D轮及以上 / 2000人以上,视频 直播 数据分析 数据运营 可视化,“福利待遇 平台发展 公司规模”
915,数据分析主管,58到家,天津,[南开区],7k-10k,7k-10k 经验3-5年 / 大专,消费生活 / D轮及以上 / 2000人以上,数据分析,"“五险一金,晋升空间,工作环境,带薪年假”"
916,金融数据分析师,投中信息,天津,[滨海新区],4k-8k,4k-8k 经验不限 / 本科,金融 / D轮及以上 / 150-500人,VC 数据分析 行业研究 分析师,“全勤奖 饭补 车补 下午茶 年终奖”
917,大数据分析工程师(J10374),朗新科技,天津,[马场道],7k-10k,7k-10k 经验应届毕业生 / 本科,"移动互联网,企业服务 / 上市公司 / 2000人以上",大数据,“上市公司”
918,数据分析师,省省回头车,广州,[天河区],8k-15k,8k-15k 经验1-3年 / 本科,消费生活 / A轮 / 50-150人,商业 数据库 数据运营 数据分析,“年底13-15薪 弹性上班”
919,数据分析师,融山科技,广州,[番禺区],15k-25k,15k-25k 经验3-5年 / 本科,金融 / 不需要融资 / 150-500人,大数据 金融 BI 数据分析 数据库 SQL,"“大平台,牛人多,福利好,待遇高，美女多”"
920,数据分析师,逸仙电商,广州,[海珠区],8k-12k,8k-12k 经验1-3年 / 大专,电商 / B轮 / 150-500人,电商 数据分析 数据库,"“大小周,绩效奖金,年底双薪,员工旅游”"
921,数据分析工程师,太平洋网络有限公司,广州,[天河区],15k-30k,15k-30k 经验3-5年 / 本科,"电商,消费生活 / 上市公司 / 500-2000人",数据挖掘 数据分析,“发展空间、培训机制、绩效奖金”
922,数据分析工程师 (MJ000344),荔枝,广州,[棠下],15k-25k,15k-25k 经验3-5年 / 本科,社交 / D轮及以上 / 500-2000人,数据分析,"“扁平管理,福利多,年终奖多,弹性上班”"
923,数据分析专家,爱员工,广州,[天河区],25k-40k,25k-40k 经验3-5年 / 本科,移动互联网 / B轮 / 150-500人,移动互联网 企业服务 数据分析 BI 数据运营 SQL,"“牛人多,架构扁平,上升空间大”"
924,数据分析经理,拉勾猎头,广州,[桥中],20k-30k,20k-30k 经验3-5年 / 本科,"移动互联网,企业服务 / D轮及以上 / 500-2000人",一手内推信息 猎头专业服务 名企保面试 精准高效对接,"“季度评优,晋升机会”"
925,数据分析总监,虎牙信息,广州,[番禺区],30k-50k,30k-50k 经验5-10年 / 不限,"社交,游戏 / 上市公司 / 500-2000人",视频 直播 数据挖掘 数据架构 数据仓库 数据分析,“平台好，氛围佳”
926,【2020届秋招】数据分析师,Fordeal,广州,[琶洲],8k-15k,8k-15k 经验应届毕业生 / 本科,"电商,移动互联网 / C轮 / 2000人以上",电商 数据挖掘 数据架构 数据分析,“六险一金，不打卡，导师制”
927,ZBBU-数据分析师,酷狗音乐,广州,[棠下],10k-20k,10k-20k 经验1-3年 / 本科,文娱丨内容 / 上市公司 / 500-2000人,数据分析,"“年终奖,发展空间大,员工旅游,绩效奖金”"
928,数据分析师,凡科,广州,[海珠区],10k-20k,10k-20k 经验1-3年 / 本科,企业服务 / 上市公司 / 500-2000人,大数据 数据分析,"“八险一金,双休,带薪年假,节日福利”"
929,数据分析,网易,广州,[天河区],12k-24k,12k-24k 经验3-5年 / 本科,电商 / 上市公司 / 2000人以上,SQL 数据运营 BI,“6险1金 16薪 免费食堂 健身房”
930,数据分析师,趣丸,广州,[珠江新城],10k-20k,10k-20k 经验不限 / 本科,游戏 / 不需要融资 / 500-2000人,数据分析,"“五险一金,包三餐,大牛多,空间大”"
931,数据分析师(商业方向，中高级）,一面数据,广州,[珠江新城],10k-20k,10k-20k 经验1-3年 / 本科,"移动互联网,数据服务 / A轮 / 50-150人",大数据,“大数据人工智能；名校系大牛；技术氛围浓”
932,数据分析师,华资软件,广州,[棠下],10k-18k,10k-18k 经验3-5年 / 本科,"移动互联网,数据服务 / 上市公司 / 500-2000人",数据分析 数据库,“BI、人工智能、大数据、物联网的应用”
933,数据分析师,网易,广州,[天河区],12k-24k,12k-24k 经验3-5年 / 本科,电商 / 上市公司 / 2000人以上,Hadoop 数据处理 数据分析 MySQL,“6险1金 16薪 免费食堂 健身房”
934,数据分析师,乐麦信息技术（杭州）有限公司,广州,[东圃],13k-25k,13k-25k 经验1-3年 / 本科,电商 / 不需要融资 / 500-2000人,电商 商业 BI 数据分析,"“五险一金,周末双休,带薪年假,内部培养”"
935,数据分析师,广州银行信用卡中心,广州,[天河区],10k-18k,10k-18k 经验1-3年 / 本科,金融 / 不需要融资 / 2000人以上,SQL 数据分析,“平台建设，业务扩张迅速，消费金融行业增涨”
936,大数据分析师 （数据产品方向 ）,钱大妈,广州,[南洲],15k-25k,15k-25k 经验3-5年 / 本科,消费生活 / C轮 / 2000人以上,新零售 数据分析 Hadoop 数据挖掘,“五险一金 行业标杆 新零售 平台大”
937,PTBU-数据分析师,酷狗音乐,广州,[东圃],15k-25k,15k-25k 经验不限 / 本科,文娱丨内容 / 上市公司 / 500-2000人,数据分析 数据挖掘,“五险一金，餐饮补贴，年终奖，旅游”
938,数据分析师,悦跑圈,广州,[元岗],8k-15k,8k-15k 经验1-3年 / 本科,移动互联网 / C轮 / 150-500人,数据分析 数据库 SQL,“周末双休 工作氛围好 六险一金”
939,数据分析师,PPmoney互联网金融平台,广州,[珠江新城],10k-20k,10k-20k 经验3-5年 / 本科,金融 / 上市公司 / 500-2000人,SQL 数据分析 数据库,“牛人多 待遇福利好 氛围轻松”
940,数据分析师,卓越教育集团,广州,[天河区],15k-25k,15k-25k 经验5-10年 / 本科,"消费生活,教育 / 不需要融资 / 2000人以上",教育 移动互联网 数据分析,“BAT队友、团队nice、丰厚奖金、双休”
941,数据分析岗（业务方向）,广发银行信用卡中心,广州,[天河区],15k-25k,15k-25k 经验3-5年 / 本科,金融 / 不需要融资 / 2000人以上,商业 可视化 SQL 数据分析,"“周末双休,带薪年假,五险一金,提供食堂”"
942,数据分析师,映客直播,广州,[海珠区],15k-25k,15k-25k 经验1-3年 / 本科,"移动互联网,文娱丨内容 / 上市公司 / 150-500人",移动互联网 直播 数据分析 数据运营 数据库,“氛围好 五险一金 下午茶 双休”
943,数据分析师,虎牙信息,广州,[大石],10k-20k,10k-20k 经验不限 / 本科,"社交,游戏 / 上市公司 / 500-2000人",数据分析,“上市公司、年底双薪、带薪年假、年度旅游”
944,数据分析经理,北鱼游戏,广州,[石牌],10k-20k,10k-20k 经验3-5年 / 不限,游戏 / 未融资 / 50-150人,游戏 市场 数据分析,“六险一金 奖金丰厚，包餐 绩效”
945,数据分析师,DataStory,广州,[猎德],8k-15k,8k-15k 经验1-3年 / 本科,数据服务 / B轮 / 150-500人,广告营销 大数据 可视化 数据分析 SPSS,"“高速发展,领导好,氛围好,业务导向”"
946,数据分析师（海外运营）,三七互娱,广州,[天河公园],10k-15k,10k-15k 经验不限 / 本科,游戏 / 上市公司 / 2000人以上,大数据 数据分析,"“上市公司,平台好”"
947,数据分析师,源慧信息,广州,[天河城],15k-20k,15k-20k 经验3-5年 / 本科,消费生活 / 上市公司 / 150-500人,SQL 数据分析 数据库,“锻炼机会多”
948,数据分析师,网易,广州,[天河区],10k-20k,10k-20k 经验1-3年 / 本科,电商 / 上市公司 / 2000人以上,大数据 教育,“五险一金；节假日；健身房；食堂”
949,HR-数据分析,Bigo,广州,[番禺区],15k-25k,15k-25k 经验3-5年 / 本科,"移动互联网,社交 / 上市公司 / 2000人以上",HR 人力资源 人事,“福利好 发展空间大”
950,数据分析师,联蔚科技,广州,[天河区],10k-18k,10k-18k 经验3-5年 / 本科,"移动互联网,电商 / 未融资 / 500-2000人",电商 新零售 数据分析 SQL 可视化,“大公司发展平台好，薪资福利好，工作环境好”
951,数据分析师,小加,广州,[江南大道],6k-10k,6k-10k 经验1-3年 / 本科,"广告营销,社交 / 不需要融资 / 15-50人",媒体 广告营销 可视化 数据分析 数据运营,“扁平化管理 老板Nice 员工活动多”
952,数据分析师(商业方向，初级）,一面数据,广州,[珠江新城],8k-15k,8k-15k 经验不限 / 本科,"移动互联网,数据服务 / A轮 / 50-150人",大数据,“大数据人工智能；名校系大牛；技术氛围浓”
953,大数据分析师,江融信,广州,[天河北],15k-30k,15k-30k 经验5-10年 / 本科,"移动互联网,其他 / B轮 / 150-500人",数据分析 数据处理,“期权分红”
954,数据分析师,作文纸条,广州,[海珠区],8k-15k,8k-15k 经验1-3年 / 本科,"移动互联网,教育 / A轮 / 50-150人",移动互联网 教育 数据分析 增长黑客 数据运营 可视化,“顶级风投、爆发式增长、周末双休、六险一金”
955,数据分析师,鲸鱼集团,广州,[海珠区],15k-25k,15k-25k 经验3-5年 / 本科,游戏 / 不需要融资 / 150-500人,游戏 广告营销 数据分析,"“薪资丰厚,公司发展迅”"
956,数据分析师（会员营销）,屈臣氏中国,广州,[越秀区],10k-15k,10k-15k 经验3-5年 / 大专,消费生活 / 不需要融资 / 2000人以上,广告营销 新零售,"“发展空间大,工作氛围好,千万级用户”"
957,数据分析师,对庄科技,广州,[花地湾],10k-15k,10k-15k 经验3-5年 / 本科,移动互联网 / A轮 / 150-500人,电商 大数据 MySQL 数据分析 数据挖掘 DBA,"“发展空间大,给力小伙伴,经验值UP”"
958,数据分析师,信用生活,广州,[海珠区],20k-40k,20k-40k 经验3-5年 / 本科,"移动互联网,金融 / A轮 / 50-150人",银行 借贷 数据分析 SQL,“行业领先的薪酬、顶尖专家培养”
959,资深数据分析师-GZ,品友互动,广州,[冼村],12k-20k,12k-20k 经验1-3年 / 本科,"移动互联网,广告营销 / D轮及以上 / 500-2000人",大数据 广告营销 运营 用户增长 数据分析,“高密度优秀人才 扁平 开放 发展空间大”
960,产品运营-数据分析岗（线上精品棋牌手游）,嘉米游戏,广州,[天河城],8k-16k,8k-16k 经验3-5年 / 本科,"移动互联网,游戏 / 不需要融资 / 50-150人",游戏 产品运营 数据分析 游戏运营,"“五险一金,年终奖,员工旅游,绩效奖金”"
961,资深数据分析师,Fordeal,广州,[琶洲],15k-30k,15k-30k 经验3-5年 / 本科,"电商,移动互联网 / C轮 / 2000人以上",数据分析 数据仓库,“包三餐和下午茶、核心岗位、”
962,数据分析师,美的电商,广州,[市桥],8k-13k,8k-13k 经验3-5年 / 本科,电商 / 上市公司 / 2000人以上,电商 大数据 商业 数据分析 SPSS BI,“不打卡 团队年轻 领导nice”
963,数据分析师,网易,广州,[天河区],15k-30k,15k-30k 经验3-5年 / 本科,电商 / 上市公司 / 2000人以上,游戏 数据库 数据分析 SQL 可视化,“大神团队 六险一金 海外旅游 周末双休”
964,数据分析工程师 (MJ000239),荔枝,广州,[棠下],15k-30k,15k-30k 经验不限 / 本科,社交 / D轮及以上 / 500-2000人,Hive 数据分析,“技术大牛多 领导nice 薪酬福利好”
965,通信信令数据分析工程师,诺基亚华诺科技,广州,[林和],13k-25k,13k-25k 经验5-10年 / 本科,"移动互联网,数据服务 / 不需要融资 / 500-2000人",通信/网络设备 移动互联网,"“高薪酬,高福利,世界500”"
966,数据分析工程师,Fordeal,广州,[琶洲],15k-30k,15k-30k 经验3-5年 / 本科,"电商,移动互联网 / C轮 / 2000人以上",电商 数据分析,“期权激励 绩效奖金 扁平管理 五险一金”
967,数据分析师（初级）,悦跑圈,广州,[天河区],4k-8k,4k-8k 经验1年以下 / 本科,移动互联网 / C轮 / 150-500人,体育 移动互联网 数据分析 数据运营 数据库,“五险一金，周末双休，公司氛围好”
968,数据分析,爱莲化妆品,广州,[棠景],4k-8k,4k-8k 经验不限 / 不限,"电商,其他 / 天使轮 / 50-150人",大数据 电商,“高薪 平台优越 稳定发展”
969,业务数据分析师,巴图鲁公司,广州,[南洲],8k-16k,8k-16k 经验1-3年 / 本科,汽车丨出行 / C轮 / 500-2000人,电商 数据分析,“五险一金；带薪假期；绩效奖金；双休”
970,数据分析师,唯品会,广州,[花地湾],20k-35k,20k-35k 经验3-5年 / 本科,电商 / 上市公司 / 2000人以上,电商 数据分析,“股票期权 包三餐 七险一金”
971,数据分析师 (MJ001375),PPmoney互联网金融平台,广州,[珠江新城],7k-10k,7k-10k 经验不限 / 本科,金融 / 上市公司 / 500-2000人,数据分析 数据处理,“平台大 发展空间大 福利好”
972,数据分析（数据可视化方向）,金十数据,广州,[海珠区],4k-6k,4k-6k 经验不限 / 本科,"移动互联网,金融 / 不需要融资 / 150-500人",金融 视频 数据分析,"“全年15薪,工作包餐,五险一金,带薪年假”"
973,数据分析师,租租车,广州,[天河区],8k-13k,8k-13k 经验不限 / 本科,"旅游,消费生活 / C轮 / 500-2000人",BI SQL 数据库 数据分析,“五险一金，年终奖，周末双休，境外旅游”
974,数据分析师,IESR,广州,[天河区],8k-12k,8k-12k 经验不限 / 硕士,"教育,数据服务 / 不需要融资 / 50-150人",数据分析,“超长带薪年假 工作环境单纯”
975,数据分析（实习）,赢商网,广州,[珠江新城],3k-4k,3k-4k 经验不限 / 本科,"移动互联网,企业服务 / 上市公司 / 150-500人",数据分析 SPSS,“周末双休”
976,高级数据分析师,米多多游戏,广州,[天河区],15k-25k,15k-25k 经验3-5年 / 本科,游戏 / 未融资 / 50-150人,游戏 数据分析 BI SPSS 数据库,“周末双休 项目奖金 年终双薪 加班补贴”
977,数据分析工程师,数驰科技,广州,[番禺区],10k-15k,10k-15k 经验1-3年 / 不限,数据服务 / 未融资 / 15-50人,金融 数据分析,"“五险一金,五天八小时,年终双薪,金融项目”"
978,数据分析师-在线游戏事业部,网易,广州,[天河区],15k-25k,15k-25k 经验3-5年 / 本科,电商 / 上市公司 / 2000人以上,移动互联网 游戏 MySQL 数据处理 数据分析,“大神团队 六险一金 海外旅游 周末双休”
979,数据分析师,搜款网 VVIC,广州,[天河区],10k-20k,10k-20k 经验3-5年 / 本科,"电商,企业服务 / 不需要融资 / 500-2000人",电商,"“人员成长快,公司福利好,团队氛围好”"
980,资深数据分析师,Fordeal,广州,[海珠区],15k-25k,15k-25k 经验3-5年 / 本科,"电商,移动互联网 / C轮 / 2000人以上",电商 移动互联网 数据分析,“优秀团队 发展空间大”
981,数据分析师（BI运营）,广府数字,广州,[东圃],6k-10k,6k-10k 经验1-3年 / 大专,"区块链,电商 / 未融资 / 15-50人",大数据 移动互联网 运营 数据分析,"“股票期权,高福利,公司核心骨,报酬丰厚”"
982,数据分析经理,Bigo,广州,[市桥],30k-50k,30k-50k 经验5-10年 / 本科,"移动互联网,社交 / 上市公司 / 2000人以上",社交 移动互联网 SPSS SQL 数据分析,"“牛人团队,项目前景,薪资福利,发展空间”"
983,高级数据分析师,要出发,广州,[天园],15k-30k,15k-30k 经验3-5年 / 本科,"电商,消费生活 / D轮及以上 / 500-2000人",MongoDB MySQL 数据分析 数据处理,“五险一金 双休 下午茶 员工内部优惠旅游”
984,高级数据分析师,绿瘦,广州,[荔湾区],12k-18k,12k-18k 经验5-10年 / 本科,医疗丨健康 / 不需要融资 / 2000人以上,医疗健康 大数据 SQLServer 数据处理 数据分析,"“大牛多,氛围佳,环境好”"
985,数据分析专家,百布,广州,[海珠区],25k-40k,25k-40k 经验5-10年 / 本科,移动互联网 / C轮 / 150-500人,数据挖掘 数据架构 数据仓库,"“不打卡,五险一金,扁平化管理,氛围轻松”"
986,数据分析师,联邦车网,广州,[海珠区],7k-12k,7k-12k 经验3-5年 / 本科,"移动互联网,消费生活 / 不需要融资 / 150-500人",移动互联网 汽车 数据分析 运营 用户增长,“周末双休、晋升空间大、五险一金、福利好”
987,数据分析专员,健客网,广州,[萝岗区],8k-14k,8k-14k 经验3-5年 / 本科,"电商,医疗丨健康 / B轮 / 500-2000人",医疗健康 移动互联网 可视化 数据分析 SPSS SQL,“晋升空间大、五险一金、周末双休”
988,数据分析师工程师,租租车,广州,[林和],8k-14k,8k-14k 经验3-5年 / 本科,"旅游,消费生活 / C轮 / 500-2000人",移动互联网 SQLServer,"“五险一金,年度旅游,交通补贴,健身房”"
989,高级数据分析师,智牛数字科技,广州,[东圃],15k-25k,15k-25k 经验5-10年 / 本科,"数据服务,物联网 / C轮 / 500-2000人",数据分析 SPSS,“3-6个月年终奖，根据项目效益和个人表现”
990,数据分析,三七互娱,广州,[天河公园],6k-10k,6k-10k 经验应届毕业生 / 本科,游戏 / 上市公司 / 2000人以上,广告营销 商业,“福利丰厚 上市公司 氛围轻松 餐补”
991,数据分析主管,巴图鲁公司,广州,[南洲],16k-23k,16k-23k 经验5-10年 / 本科,汽车丨出行 / C轮 / 500-2000人,电商 BI 数据分析,“五险一金；带薪假期；”
992,数据分析工程师,翡翠东方TVBC,广州,[冼村],18k-30k,18k-30k 经验3-5年 / 本科,文娱丨内容 / 不需要融资 / 15-50人,媒体 运维 数据分析,“数据分析”
993,高级数据分析师（荔湾西朗）,绿瘦,广州,[芳村],12k-15k,12k-15k 经验5-10年 / 本科,医疗丨健康 / 不需要融资 / 2000人以上,大数据 云计算 Hive 数据分析 MySQL Oracle,“大平台 五险一金 提供食宿”
994,高级数据分析,百布,广州,[海珠区],15k-25k,15k-25k 经验5-10年 / 本科,移动互联网 / C轮 / 150-500人,数据分析 数据处理,"“不打卡,五险一金,扁平化管理,氛围轻松”"
995,数据分析经理,一手,广州,[桥中],20k-30k,20k-30k 经验3-5年 / 本科,"移动互联网,电商 / B轮 / 500-2000人",电商 大数据 数据分析 数据运营 BI 商业,“500+规模 发展空间大 成熟的技术团队”
996,数据分析师,广东智源,广州,[越秀区],8k-15k,8k-15k 经验1-3年 / 硕士,"移动互联网,企业服务 / 不需要融资 / 50-150人",大数据 算法 数据挖掘 数据分析,"“五险一金,绩效奖金,月度活动,年度旅游”"
997,高级数据分析师,租租车,广州,[天河区],13k-20k,13k-20k 经验3-5年 / 本科,"旅游,消费生活 / C轮 / 500-2000人",Hadoop,"“海外旅游,免费租车,甲级写字楼,年终奖金”"
998,高级数据分析工程师,高奈特,广州,[荔湾区],15k-25k,15k-25k 经验3-5年 / 本科,"信息安全,数据服务 / 上市公司 / 150-500人",大数据 数据挖掘 数据分析,"“入职买五险,出差额外补,晋升方向多,享绩效年终”"
999,推广与数据分析专员,青木科技,广州,[客村],5k-10k,5k-10k 经验不限 / 不限,电商 / 未融资 / 500-2000人,电商 网店推广 推广 SEO,“五险一金 绩效激励 晋升机会 年轻团队”
1000,数据分析师-广州,AdMaster,广州,[琶洲],6k-8k,6k-8k 经验不限 / 本科,数据服务 / 不需要融资 / 2000人以上,社交 大数据,"“六险一金,带薪年假,餐补,年终奖”"
1001,高级数据分析师,Bigo,广州,[市桥],20k-40k,20k-40k 经验3-5年 / 本科,"移动互联网,社交 / 上市公司 / 2000人以上",社交 移动互联网 数据分析 SQL,"“牛人团队,项目前景,薪资福利,发展空间”"
1002,数据分析经理,PLAY800,广州,[跑马场],25k-40k,25k-40k 经验3-5年 / 本科,"移动互联网,游戏 / 天使轮 / 150-500人",游戏 移动互联网 数据分析 数据架构 数据挖掘 MySQL,“环境好，双休，餐补，五险一金，健身房，”
1003,数据分析师,骏伯网络,广州,[元岗],15k-25k,15k-25k 经验3-5年 / 本科,移动互联网 / 上市公司 / 150-500人,广告营销 大数据 行业分析 数据分析 市场分析 市场竞争分析,“五险一金 带薪年假 下午茶 年底双薪”
1004,数据分析师,赛泽科技,广州,[五山],12k-20k,12k-20k 经验应届毕业生 / 本科,"移动互联网,游戏 / 未融资 / 50-150人",数据分析 数据库 数据运营,“五险一金、绩效奖金、包吃、节假日福利等”
1005,中高级数据分析师,巴图鲁公司,广州,[南洲],14k-20k,14k-20k 经验3-5年 / 本科,汽车丨出行 / C轮 / 500-2000人,BI 数据分析 SQL,"“福利齐全,技术杠杠,氛围轻松,扁平管理”"
1006,数据分析,昌正贸易,广州,[白云大道],8k-12k,8k-12k 经验1-3年 / 大专,"移动互联网,其他 / 不需要融资 / 500-2000人",电商 BI 可视化 SQL 数据库,“五险一金 餐饮补贴 年度体检 出国机会”
1007,高级数据分析师,PPmoney互联网金融平台,广州,[冼村],9k-14k,9k-14k 经验1-3年 / 本科,金融 / 上市公司 / 500-2000人,数据分析 SQL,“1年两次晋升加薪 福利超多”
1008,数据分析师,广东智源,广州,[越秀区],5k-8k,5k-8k 经验1-3年 / 本科,"移动互联网,企业服务 / 不需要融资 / 50-150人",大数据 算法 数据挖掘 数据分析,"“五险一金,绩效奖金,月度活动,年度旅游”"
1009,数据分析专家,欢聚时代（YY Inc）,广州,[大石],25k-50k,25k-50k 经验5-10年 / 本科,文娱丨内容 / 上市公司 / 2000人以上,直播 视频 数据分析,“上市公司 互联网 大平台”
1010,实时数据分析师（现场管理专员/服务督办）,租租车,广州,[林和],5k-7k,5k-7k 经验1-3年 / 本科,"旅游,消费生活 / C轮 / 500-2000人",客服 售前 售后,“五险一金，年终奖，周末双休，境外旅游”
1011,企业微信高级产品运营-数据分析方向,腾讯,广州,[新港],25k-50k,25k-50k 经验不限 / 不限,社交 / 上市公司 / 2000人以上,产品策划 数据分析 用户增长,“微信、分配下属、长线发展”
1012,数据分析实习生 (MJ000230),荔枝,广州,[天河区],2k-4k,2k-4k 经验应届毕业生 / 不限,社交 / D轮及以上 / 500-2000人,数据分析 Hive,“技术大牛多 领导nice 薪酬福利好”
1013,产品数据分析师（游戏方向）,3K游戏,广州,[棠下],15k-30k,15k-30k 经验不限 / 本科,"游戏,移动互联网 / 上市公司 / 150-500人",游戏 数据分析 可视化 数据库 数据运营,"“六险一金,包三餐,绩效奖金,海外旅游”"
1014,数据分析专员,漫灵软件,广州,[棠下],4k-7k,4k-7k 经验1年以下 / 大专,移动互联网 / 未融资 / 150-500人,游戏 数据分析 数据运营,“成熟发行团队 五险一金”
1015,高级数据分析师,云徙科技,广州,[鱼珠],20k-40k,20k-40k 经验3-5年 / 本科,"数据服务,移动互联网 / A轮 / 500-2000人",大数据 数据挖掘 数据分析,“快速发展 A轮融资 提供食宿 股权激励”
1016,数据分析,联吉吉,广州,[珠江新城],5k-7k,5k-7k 经验1年以下 / 大专,电商 / 不需要融资 / 50-150人,电商,"“周末双休,五险一金，数据分析”"
1017,主题数据分析师,博智税通,广州,[五山],20k-35k,20k-35k 经验3-5年 / 本科,企业服务 / 天使轮 / 15-50人,大数据 ETL 数据分析 SQLServer,“面谈”
1018,游戏数据分析师,广州游爱,广州,[石牌],10k-20k,10k-20k 经验3-5年 / 本科,"移动互联网,游戏 / 上市公司 / 500-2000人",游戏 数据分析 数据运营 SPSS,“五险一金 带薪年假 包三餐”
